,Higher SecondarySchools(**)Total  2008-09,Higher SecondarySchools(**)Total   2009-10,Higher SecondarySchools(**)Women  2008-09,Higher SecondarySchools(**)Women   2009-10,Higher SecondarySchools(**)% age ofTrained Teachers  2008-09
 andhra pradesh,46339.0,46339.0,12907.0,12907.0,90.0
 arunachal pradesh,2442.0,2719.0,550.0,659.0,62.0
 assam,18078.0,16845.0,5384.0,4976.0,29.0
 bihar,15743.0,31837.0,2463.0,9678.0,95.0
 chhattisgarh,22152.0,28303.0,7032.0,9789.0,70.0
 goa,1287.0,1349.0,698.0,742.0,92.0
 gujarat,47687.0,43946.0,14836.0,14187.0,100.0
 haryana,38710.0,54459.0,18237.0,,97.0
 himachal pradesh,16756.0,16885.0,5864.0,5950.0,100.0
 jammu & kashmir,10161.0,18489.0,3988.0,7732.0,66.0
 jharkhand,4057.0,4057.0,1822.0,1822.0,100.0
 karnataka,23229.0,26622.0,7098.0,8416.0,100.0
 kerala,16770.0,27350.0,13352.0,21783.0,100.0
 madhya pradesh,62895.0,68353.0,23952.0,27773.0,79.0
 maharashtra,129062.0,15055.0,41037.0,5231.0,99.0
 manipur,2996.0,3006.0,1351.0,1366.0,38.0
 meghalaya,1155.0,1344.0,626.0,710.0,36.0
 mizoram,1058.0,1224.0,460.0,537.0,30.0
 nagaland,2394.0,2394.0,1201.0,1201.0,32.0
odisha,22571.0,24303.0,5239.0,5842.0,100.0
 punjab,16244.0,38775.0,9223.0,24800.0,100.0
 rajasthan,82691.0,91775.0,23254.0,25905.0,92.0
 sikkim,661.0,563.0,243.0,209.0,58.0
 tamil nadu,54265.0,90347.0,31965.0,50017.0,100.0
 tripura,9546.0,9546.0,3611.0,3611.0,63.0
 uttar pradesh,123326.0,125775.0,21552.0,22966.0,97.0
 uttarakhand,21190.0,22243.0,4800.0,5413.0,100.0
 west bengal,78620.0,139927.0,25361.0,53201.0,86.0
 a. & n. islands,2051.0,2094.0,1091.0,1146.0,100.0
 chandigarh,3349.0,3933.0,2717.0,3437.0,98.0
 d. & n. haveli,104.0,105.0,56.0,47.0,92.0
 daman and diu,65.0,65.0,23.0,23.0,96.0
 delhi,61113.0,64158.0,43356.0,45471.0,100.0
 lakshadweep,273.0,70.0,83.0,9.0,100.0
 puducherry,4107.0,4468.0,2508.0,2726.0,98.0
